"Year","x","nWx","nNx_total","nLx","B"
1938,4,998924.66,2020160.8,93805,NA
1938,5,1044735.19,2121275.26,93653,NA
1938,6,1067227.83,2167208.75,93524,NA
1938,7,1094961.72,2224564.53,93410,NA
1938,8,1112663.81,2261104.94,93308,NA
1938,9,1129751.53,2298553.56,93215,NA
1938,10,1153804.76,2347852.12,93130,NA
1938,11,1176607.89,2389659.03,93049,NA
1938,12,1194438.65,2420193.52,92966,80.78
1938,13,1212078.33,2449163.1,92876,505.91
1938,14,1226441.38,2471728.37,92775,2705.24
1938,15,1236958.95,2486476.65,92658,9513.66
1938,16,1238747.43,2482882.07,92523,27538.82
1938,17,1227450.35,2451858.09,92370,56234.32
1938,18,1210733.36,2408761.52,92201,92091.51
1938,19,1193562.3,2365069.08,92016,113175.06
1938,20,1178668.03,2327763.77,91817,134296.65
1938,21,1168613.19,2303196.88,91606,141239.35
1938,22,1162269.45,2288932.87,91386,147421.62
1938,23,1156311.09,2276856.21,91156,151591.14
1938,24,1148881.85,2262336.22,90919,146915.35
1938,25,1138640.97,2242672.61,90675,139410.6
1938,26,1124255.21,2215190.79,90423,130853.8
1938,27,1106360.22,2181135.03,90165,120439.04
1938,28,1086936.05,2144561.95,89902,118937.74
1938,29,1067172.37,2107857.66,89633,102410.97
1938,30,1048004,2072417.43,89361,99449.33
1938,31,1030602.82,2039977.73,89085,78108.64
1938,32,1015026.95,2010586.07,88801,76590.56
1938,33,1000219.12,1982590.15,88506,64849.85
1938,34,985308.59,1954656.9,88197,58966.99
1938,35,969624.51,1925731.75,87869,51450.52
1938,36,952478.98,1894771.43,87521,44499.61
1938,37,934002.21,1861989.38,87153,39914.51
1938,38,914769.08,1828128.47,86765,40335.51
1938,39,895932.19,1795019.87,86357,26675.85
1938,40,879939.8,1768028.76,85932,22692.4
1938,41,868578.17,1750224.07,85489,14553.71
1938,42,860609.52,1739210.41,85029,13306.63
1938,43,853627.31,1730018.56,84550,8687.99
1938,44,845538.63,1718481.38,84050,5191.82
1938,45,833584.97,1699257.99,83525,3178.56
1938,46,815720.14,1668515,82969,1523.21
1938,47,793293.88,1628736.9,82377,772.36
1938,48,769168.47,1585347.97,81743,476.33
1938,49,744749.11,1540753.65,81064,199.75
1938,50,720138.47,1494236.09,80337,80.41
1938,51,695110.95,1444551.07,79560,32.99
1938,52,669454.72,1391565.8,78732,41.24
1938,53,643122.55,1336192.19,77854,12.37
1938,54,616688.71,1280150.38,76925,8.25
1938,55,591599.75,1226450,75948,1
1938,56,569255.63,1177988.86,74921,NA
1938,57,549421.53,1134331.75,73842,NA
1938,58,530662.97,1092555.52,72708,NA
1938,59,511993.48,1050749.94,71513,NA
1938,60,493167.21,1008738.62,70248,NA
1938,61,474150.72,966765.34,68905,NA
1938,62,455035.85,925036.25,67472,NA
1938,63,436071.61,883823.14,65941,NA
1938,64,417257.47,843053.53,64300,NA
1938,65,397830.58,801508.55,62541,NA
1938,66,376873.14,757604.2,60660,NA
1938,67,354365.98,711277.55,58663,NA
1938,68,331472.04,664379.11,56560,NA
