"Year","Cohort","x","B","PY"
1896,1856,40,2067.31,14327.53
1896,1857,38,2518.9,15341.11
1896,1857,39,2242.06,14731.86
1896,1858,37,2931.18,16479.74
1896,1858,38,2776.25,16423.5
1896,1859,36,3076.68,16846.58
1896,1859,37,3026.12,16746.77
1896,1860,35,3161.38,16702.75
1896,1860,36,3100.01,16811.4
1896,1861,34,3105.5,15488.29
1896,1861,35,3073.63,15995.99
1896,1862,33,3339.2,16663.66
1896,1862,34,3370.64,16672.93
1896,1863,32,3436.88,17038.65
1896,1863,33,3473.94,17326.25
1896,1864,31,3597.88,17210.63
1896,1864,32,3639.14,17912.37
1896,1865,30,3566.43,17159.51
1896,1865,31,3642.2,17354.14
1896,1866,29,3525.64,17098.83
1896,1866,30,3720.09,17961.97
1896,1867,28,3145.08,15963.59
1896,1867,29,3368.54,16495.71
1896,1868,27,2732.32,14141.52
1896,1868,28,2938.72,15073.24
1896,1869,26,3064.74,16215.34
1896,1869,27,3077.73,16039.19
1896,1870,25,2997.7,16581.55
1896,1870,26,3126.78,16751.91
1896,1871,24,2941.89,18023.6
1896,1871,25,3185.91,18100.62
1896,1872,23,2542.74,17767.88
1896,1872,24,2828.63,18050.62
1896,1873,22,2243.53,18842.4
1896,1873,23,2557.72,18871.63
1896,1874,21,1846.84,19258.88
1896,1874,22,2157.24,19407.09
1896,1875,20,1376.81,20339.65
1896,1875,21,1781.11,20522.06
1896,1876,19,895.58,20933.81
1896,1876,20,1240.14,21062.62
1896,1877,18,514.78,22379.85
1896,1877,19,796.34,22407.29
1896,1878,17,209.99,22119.25
1896,1878,18,395.42,22337.41
1896,1879,16,63.88,23867.16
1896,1879,17,154.68,23612.29
1896,1880,15,9.05,22974.07
1896,1880,16,36.92,23839.38
1896,1881,14,0.84,23477.4
1896,1881,15,4.79,23636.79
1896,1882,13,0,23695.21
1896,1882,14,0.15,24781.41
1896,1883,12,0,24412.04
1896,1883,13,0,24689.68
1896,1884,12,0,26033.99
1897,NA,12,0,0
1897,NA,55,0,0
1897,1841,55,0,11282.83
1897,1842,54,0,12048.83
1897,1842,55,0,11950
1897,1843,53,0,11865.83
1897,1843,54,0,11772.67
1897,1844,52,0,12666.17
1897,1844,53,0,12565.33
1897,1845,51,0,12249.33
1897,1845,52,0,12166
1897,1846,50,1.71,11475.33
1897,1846,51,0,11403.83
1897,1847,49,12.55,11899.83
1897,1847,50,5.2,11814.5
1897,1848,48,34.43,12727.09
1897,1848,49,20.05,12637.5
1897,1849,47,96.76,13738.1
1897,1849,48,48.55,13649.1
1897,1850,46,204.83,13306.91
1897,1850,47,124.51,13235.93
1897,1851,45,393.44,13137.57
1897,1851,46,256.49,13240.79
1897,1852,44,577.04,12387.26
1897,1852,45,466.95,13029.31
1897,1853,43,995.96,13791.75
1897,1853,44,713.05,13349.66
1897,1854,42,1469.02,15138.12
1897,1854,43,1207.87,14866.48
1897,1855,41,1595.94,13966.64
1897,1855,42,1468.76,14115.4
1897,1856,40,1913.32,14307.47
