Parity,UR,Education,W
2,1,3,.70676738
6,2,1,.99301112
4,1,2,.91019005
4,2,1,.027976003
2,2,1,.61049211
11,2,1,.62913758
8,2,1,2.1634412
6,2,1,.81563282
6,2,1,2.5305691
7,1,1,4.5899091
7,2,1,1.9266919
6,2,2,.29601255
10,2,1,1.6682386
3,1,3,1.8227457
11,2,1,1.3494571
5,2,2,1.5078387
1,2,3,1.7173878
4,2,1,1.5105332
6,2,1,.84637165
5,2,1,2.2905085
8,2,1,1.529245
6,1,1,.21615951
8,1,1,.43832031
5,1,1,1.8227457
4,1,2,1.7215708
8,2,1,.65175885
8,2,2,.84525132
10,2,1,3.9792774
12,2,1,1.0128883
4,1,2,.28107706
6,2,1,1.6853372
5,2,1,1.5872116
7,2,1,.6375286
13,2,1,2.0230217
3,2,1,.4599652
7,2,1,.92732775
9,1,1,.5610522
6,2,1,.82377523
7,2,1,.32275122
5,2,2,.65175885
6,1,1,.28107706
8,2,1,1.0208488
6,2,2,.15417327
6,2,1,.31850514
6,1,2,.84180373
3,2,1,1.5187656
1,2,1,.56232321
7,2,1,.2939299
1,1,2,.7593714
7,2,1,1.6849844
6,2,1,.030607499
6,2,1,1.0709144
4,1,2,3.2049725
8,2,1,1.3635139
8,2,1,.42531151
6,2,1,2.0528197
4,2,1,.18551098
3,2,1,.028313389
3,1,2,.53662312
6,2,1,1.5408932
7,2,1,.5344305
5,2,1,1.6433438
5,1,1,.40785956
3,2,2,3.1540179
4,2,1,.53836691
6,2,1,2.9524372
5,2,2,.24825723
8,2,1,.47101295
5,2,1,1.9555703
5,2,1,1.1640871
4,2,2,.2687332
4,2,2,1.5211371
7,2,2,.34789103
0,2,1,3.497493
10,2,1,.86095238
7,2,2,.72936493
9,2,1,2.1645498
8,2,1,.43873423
7,2,1,.12907529
10,2,1,1.1771953
10,2,1,.37270391
3,2,1,.68175697
7,2,2,.616234
5,2,1,.21124688
7,2,2,.37491646
2,2,1,1.7879685
3,1,3,.14796896
2,2,3,.90819234
8,1,1,1.1301349
6,2,1,.29381087
6,2,1,.56848794
4,2,1,1.0071633
7,2,1,1.5078387
8,2,2,.86241251
9,2,1,1.8253505
10,2,1,1.090518
6,2,2,2.2905085
2,1,2,.72878289
4,2,3,.24690548
9,2,1,1.2897288
7,2,1,.28333166
6,2,1,.62370044
3,1,3,.45743284
6,2,1,.22289351
7,2,1,.91589934
1,2,1,.73326105
7,2,1,.28465551
4,2,1,.95138329
6,2,1,.2306526
7,2,1,.37491646
10,2,1,2.0452712
7,2,2,2.3161933
7,2,3,.48437738
7,2,1,.37571549
9,2,1,1.5813329
5,2,1,.86217445
6,2,1,.53128445
6,2,1,3.3200948
4,2,2,.6435402
10,2,1,.29381087
6,2,1,7.0839887
7,2,1,.40354112
7,2,2,.38543317
5,2,1,1.0928848
8,2,1,1.1594737
11,2,1,.65175885
1,2,3,1.6529955
1,2,1,.57107419
9,1,1,.2350084
1,2,2,.23423542
7,2,1,.21627083
9,2,1,.40634817
8,2,1,1.6144143
3,2,1,.70299953
6,2,2,.31850514
8,1,1,1.0232525
2,1,3,.85314107
2,2,1,.13678798
1,2,1,1.5810823
5,1,2,3.1112766
6,2,1,.95590216
7,2,2,.86241251
3,2,2,1.6776276
7,2,1,.59527344
6,1,3,1.647779
3,2,1,.53283203
7,2,1,3.7731421
15,2,1,.64020026
6,2,1,.027976003
6,2,1,.82377523
6,2,1,1.5329911
3,1,1,.22983477
5,2,3,.70073634
5,2,1,.77597946
4,2,1,.60800046
7,2,1,.89656216
9,2,1,.58758259
6,2,1,1.5920244
4,2,2,.022692636
3,2,1,.99651575
7,2,1,.22289351
3,2,1,.67692405
5,1,1,.27983913
5,2,1,.027976003
5,2,2,2.1634412
5,2,2,.84525132
3,1,1,.012102932
4,2,1,1.1773779
10,2,1,1.1102427
6,1,1,1.0232525
3,1,3,.017408326
0,2,1,.58616936
7,2,1,1.1429251
11,2,1,.50907546
4,2,1,.33221436
4,2,1,.5036791
7,2,1,.94985259
10,2,1,1.7226954
9,2,1,.65678281
5,2,1,1.0913377
5,2,1,.45985207
8,2,1,.26002908
5,1,3,.39064124
4,2,1,1.5078387
10,2,1,1.7283098
8,2,1,.65664929
7,2,2,1.6002698
5,2,1,2.3161933
7,2,1,1.2030253
6,2,2,.63842374
3,1,1,1.7414589
6,1,1,3.4303927
12,2,1,.66217732
6,2,1,.31817171
9,2,1,1.8421315
7,2,1,.64925414
2,2,1,.14124925
8,2,1,2.4763019
8,2,1,.96284449
8,2,1,.80222595
11,1,1,2.8226519
8,2,1,1.6682386
8,1,1,.16253167
3,1,3,1.5781298
6,2,1,1.0398517
8,2,1,2.6861176
11,2,1,1.7276063
5,2,1,.57985353
10,2,1,1.0655851
8,2,1,2.0470383
7,2,2,1.348152
2,2,1,.35116377
4,2,1,.952636
4,2,2,.48406655
5,2,1,1.6347669
6,2,1,2.1512239
4,1,2,.88576674
6,2,1,.14797123
5,2,2,.30737075
7,2,1,1.4486721
4,2,1,.99651575
9,2,1,1.2873948
9,2,1,.30209628
6,2,1,.57133102
8,2,1,.75763702
8,2,1,.57878876
4,1,2,2.6012151
7,2,1,.28333166
4,2,1,1.1620325
0,2,2,1.3538916
8,2,1,.86590576
2,2,1,.42531151
7,2,1,.028517075
4,2,1,1.177458
9,2,1,.57985353
2,1,3,1.7514656
7,2,1,.30045137
2,2,2,1.3483753
9,2,1,.78651768
6,2,1,1.348152
3,1,1,.47474822
5,2,2,.27368894
5,2,1,.86217445
6,2,1,.34634778
6,2,1,.63980532
1,1,3,.70676738
4,2,1,1.1620325
2,2,1,.26762706
5,2,2,3.7731421
2,2,1,1.0399457
0,2,1,.29908028
9,2,1,.53385156
8,2,1,1.7129409
5,2,3,1.8273723
3,1,3,1.0827546
3,1,2,1.647779
8,2,1,.78784353
6,2,1,.72747141
2,2,1,.78022283
5,2,2,.40634817
9,2,1,1.2086185
8,2,2,.51556826
3,2,1,.65123057
10,2,1,.48389152
4,1,1,.93972051
6,2,1,1.9266919
6,2,1,1.4818522
8,2,1,.568012
6,2,2,2.0528197
9,2,1,.58902234
9,2,1,1.8653618
7,2,1,.65561843
10,2,1,2.8116093
5,2,1,.7896446
8,2,1,.67326236
9,2,1,.53953618
2,2,1,.028313389
5,2,1,.4826012
8,2,2,.58386427
9,2,1,2.3409109
5,2,1,1.4318272
6,2,2,1.3635139
6,2,1,.41337463
4,2,2,1.7310154
9,2,1,2.1565075
3,2,1,.61237925
3,2,1,1.2550052
7,2,2,.27544561
4,2,1,.95850736
8,2,1,.35175455
8,1,1,.45743284
1,2,1,.24122348
6,1,2,2.1631465
7,2,1,.90973479
6,2,1,.31818429
5,2,1,.38825879
7,2,1,.55130893
1,2,1,1.2873948
1,2,1,.95850736
8,2,1,.50342143
6,2,2,.34469467
8,2,1,.6380471
11,2,1,.53128445
9,2,1,.28613764
6,1,2,.25938797
5,2,1,1.203812
6,2,1,.27456108
10,2,1,1.1771953
7,2,1,1.5187656
3,2,1,.90118003
9,2,1,.70299953
8,2,1,.57152838
7,2,1,.18893783
5,2,1,3.7731421
3,2,1,1.2023367
9,2,1,1.9623547
9,2,1,1.6968102
5,2,1,2.3710768
6,2,1,.30794919
10,2,1,1.9365314
5,2,1,.26362303
4,2,2,1.3634403
6,2,1,.82377523
9,1,1,.72878289
7,2,1,.69905388
5,2,2,1.9714053
5,2,1,1.190134
7,2,1,1.4008706
5,2,1,1.3281032
9,2,1,.48015052
7,2,1,.83291882
7,2,1,4.4292068
7,2,1,2.3409109
6,2,1,1.1013236
9,2,1,.12833938
5,2,1,.33969617
5,2,2,.61237925
6,2,1,.53128445
6,2,1,1.4723855
6,2,1,.2306526
6,2,1,.23053528
3,2,2,.030382358
4,1,1,.92974973
7,1,1,.48162675
5,1,3,.012102932
8,2,1,1.6300492
8,2,1,.50097227
6,2,1,1.9141215
6,2,1,1.0335995
6,1,1,4.5899091
6,1,1,1.8316039
7,2,1,.96373004
8,2,1,1.7629166
8,2,1,1.7494735
6,2,1,.65561843
7,2,1,1.0315907
6,2,1,.72200537
5,2,2,1.9141215
6,1,1,.25938797
11,2,1,1.0071633
7,2,1,.56232321
8,2,1,.4562192
5,2,1,.51305062
1,1,1,.25938797
8,2,1,.25680754
5,2,1,.62513077
3,2,3,.28333166
5,1,2,.017408326
7,1,2,.87706316
5,2,2,.14797123
6,2,1,.27439669
8,2,1,.36987981
4,2,1,2.4700234
11,2,1,.90473485
4,2,1,4.6936131
6,2,2,.61237925
3,2,1,.91715956
6,2,1,.13585001
11,2,1,1.6002698
9,2,1,.53369468
7,2,1,.77597946
6,1,2,.28452832
12,2,1,.98877716
6,2,1,.50607657
5,2,2,.30737075
6,2,2,1.3694502
5,2,2,.55800736
4,2,3,1.6776276
